subtype,system,code,display,tier
medulloblastoma,urn:oid:2.16.840.1.113883.6.43.1,9470/3,Medulloblastoma NOS (ICD-O-3),1
medulloblastoma,urn:oid:2.16.840.1.113883.6.43.1,9471/3,Desmoplastic nodular medulloblastoma (ICD-O-3),1
medulloblastoma,urn:oid:2.16.840.1.113883.6.43.1,9474/3,Large cell medulloblastoma (ICD-O-3),1
medulloblastoma,urn:oid:2.16.840.1.113883.6.43.1,9472/3,Medullomyoblastoma (ICD-O-3),1
medulloblastoma,http://snomed.info/sct,443333004,Medulloblastoma (disorder) [CANDIDATE - verify],1
medulloblastoma,http://hl7.org/fhir/sid/icd-10-cm,C71.6,Malignant neoplasm of cerebellum,2
medulloblastoma,http://hl7.org/fhir/sid/icd-9-cm,191.6,Malignant neoplasm of cerebellum NOS,2
atrt,urn:oid:2.16.840.1.113883.6.43.1,9508/3,Atypical teratoid/rhabdoid tumor (ICD-O-3),1
atrt,http://snomed.info/sct,715659006,Atypical teratoid/rhabdoid tumor [CANDIDATE - verify],1
atrt,http://hl7.org/fhir/sid/icd-10-cm,C71.9,"Malignant neoplasm of brain, unspecified",3
atrt,http://hl7.org/fhir/sid/icd-9-cm,191.9,Malignant neoplasm of brain NOS,3
