client_table,client_column,variable,description,analysis_role,data_type,section,aspect,preferred_date_rule,fallback_date_rule
pcx__client_subject,subject_ref,,FHIR Patient reference,identifier,varchar,,,,
pcx__client_subject,gender,,Administrative gender from core__patient,covariate,varchar,,,,
pcx__client_subject,race_display,,Most recently documented patient-reported race display,covariate,varchar,,,,
pcx__client_subject,ethnicity_display,,Most recently documented patient-reported ethnicity display,covariate,varchar,,,,
pcx__client_subject,birthdate,,"Birth date from core__patient, used for month-level age",covariate_time,date,,,,
pcx__client_subject,t0_day,,Time zero: first encounter with a tier 1 medulloblastoma casedef code,covariate_time,date,,,,
pcx__client_subject,t0_source,,Rule that produced t0_day,provenance,varchar,,,,
pcx__client_subject,age_months_at_t0,,Completed months from birthdate to t0_day,covariate,bigint,,,,
pcx__client_subject,age_band_at_t0,,under_36_months or 36_months_or_older at t0_day,covariate,varchar,,,,
pcx__client_subject,definitive_surgery_day,,"Date of the definitive tumor resection (LLM surgery_role, else first tier 1 craniotomy)",covariate_time,date,,,,
pcx__client_subject,definitive_surgery_source,,Rule that produced definitive_surgery_day,provenance,varchar,,,,
pcx__client_subject,age_months_at_definitive_surgery,,"Completed months from birthdate to definitive_surgery_day, the ACNS0334 age criterion",covariate,bigint,,,,
pcx__client_subject,medulloblastoma_tier1_bool,,Any tier 1 medulloblastoma casedef code exists,eligibility,boolean,,,,
pcx__client_subject,llm_medulloblastoma_bool,,Any diagnosis-task note gives disease_subtype MEDULLOBLASTOMA,eligibility,boolean,,,,
pcx__client_subject,atrt_confirmed_bool,,ATRT named by tier 1 code or LLM diagnosis (ACNS0334 exclusion),eligibility,boolean,,,,
pcx__client_subject,age_under_36_months_at_definitive_surgery,,"ACNS0334 inclusion: under 36 months at definitive surgery, NULL when not evaluable",eligibility,boolean,,,,
pcx__client_subject,no_prior_chemotherapy_bool,,"ACNS0334 inclusion: no chemotherapy before t0_day, NULL when no chemotherapy evidence",eligibility,boolean,,,,
pcx__client_subject,no_prior_radiation_bool,,"ACNS0334 inclusion: no radiation before t0_day, NULL when no radiation evidence",eligibility,boolean,,,,
pcx__client_subject,trial_eligible_bool,,Subject is in pcx__eligible_trial (strict intersection of the evaluable criteria),eligibility,boolean,,,,
pcx__client_subject,llm_metastatic_bool,,Any diagnosis-task note states Chang M1 to M4,covariate,boolean,,,,
pcx__client_subject,llm_anaplastic_bool,,Any diagnosis-task note gives large-cell/anaplastic histology,covariate,boolean,,,,
pcx__client_subject,llm_residual_disease_bool,,Any surgery-task note gives partial resection or biopsy only,covariate,boolean,,,,
pcx__client_subject,llm_residual_tumor_area_cm2_max,,Largest explicit postoperative residual area in cm2,covariate,double,,,,
pcx__client_subject,age_under_8_months_at_t0,,Age at t0_day below 8 months (ACNS0334 high-risk qualifier),covariate,boolean,,,,
pcx__client_subject,methotrexate_any_bool,,"Any methotrexate order or documented administration, any dose, any time",treatment,boolean,,,,
pcx__client_subject,methotrexate_prior_to_first_event_bool,,"Methotrexate received as initial therapy: first day before the first EFS-type event (TRUE), on or after it (FALSE), no dated evidence (NULL)",treatment,boolean,,,,
pcx__client_subject,radiation_any_bool,,"Any radiation delivery, order or code, any dose, any time",treatment,boolean,,,,
pcx__client_subject,radiation_prior_to_first_event_bool,,"Radiation received as initial therapy: first day before the first EFS-type event (TRUE), on or after it (FALSE), no dated evidence (NULL)",treatment,boolean,,,,
pcx__client_subject,chemo_any_bool,,Any backbone chemotherapy order or documented administration,treatment,boolean,,,,
pcx__client_subject,initial_therapy_sequence,,"CHEMOTHERAPY_BEFORE_RADIATION, RADIATION_BEFORE_CHEMOTHERAPY, SAME_DAY, CHEMOTHERAPY_ONLY, RADIATION_ONLY within initial treatment",treatment,varchar,,,,
pcx__client_subject,protocol_names,,"Distinct treatment protocol names documented for the subject, pipe separated",treatment,varchar,,,,
pcx__client_subject,os_event_bool,,Overall survival event: the patient died,outcome,boolean,,,,
pcx__client_subject,death_day,,Earliest recorded death date across FHIR and LLM sources,outcome,date,,,,
pcx__client_subject,last_known_alive_day,,Latest date the patient is documented alive,censoring,date,,,,
pcx__client_subject,os_end_day,,"death_day for deceased patients, otherwise last_known_alive_day",outcome,date,,,,
pcx__client_subject,os_days,,Days from t0_day to os_end_day,outcome,bigint,,,,
pcx__client_subject,efs_event_bool,,"Provisional EFS event: a dated progression, recurrence, secondary malignancy or death exists",outcome,boolean,,,,
pcx__client_subject,first_event_day,,Date of the first EFS-type event,outcome,date,,,,
pcx__client_subject,first_event_type,,"Event type(s) on first_event_day, comma separated",outcome,varchar,,,,
pcx__client_subject,efs_end_day,,"first_event_day when an event exists, otherwise last_known_alive_day (provisional censoring)",outcome,date,,,,
pcx__client_subject,efs_days,,Days from t0_day to efs_end_day,outcome,bigint,,,,
pcx__client_subject,efs_censor_source,,first_event or last_known_alive_provisional,censoring,varchar,,,,
pcx__client_subject,observation_start_date,,Earliest study-window encounter start,censoring,date,,,,
pcx__client_subject,observation_end_date,,Latest study-window encounter end,censoring,date,,,,
pcx__client_subject,encounter_count,,Number of distinct study-population encounters,utilization,bigint,,,,
pcx__client_diagnosis,subject_ref,,FHIR Patient reference,identifier,varchar,,,,
pcx__client_diagnosis,t0_day,,Time zero used for the 90-day baseline window,covariate_time,date,,,,
pcx__client_diagnosis,casedef_subtypes_tier1,,"Tier 1 case-definition subtypes with coded evidence, pipe separated",covariate,varchar,,,,
pcx__client_diagnosis,medulloblastoma_tier1_bool,,Any tier 1 medulloblastoma casedef code exists,eligibility,boolean,,,,
pcx__client_diagnosis,atrt_tier1_bool,,Any tier 1 ATRT casedef code exists,eligibility,boolean,,,,
pcx__client_diagnosis,diagnosis_note_count,,Number of diagnosis-task notes for the subject,provenance,bigint,,,,
pcx__client_diagnosis,disease_subtype_ever,,Latest documented CNS embryonal subtype across all notes,covariate,varchar,,,,
pcx__client_diagnosis,disease_subtype_baseline,,Latest documented subtype within 90 days of t0_day,covariate,varchar,,,,
pcx__client_diagnosis,disease_subtype_distinct_count,,Number of distinct documented subtypes (more than 1 = reclassification or conflict),provenance,bigint,,,,
pcx__client_diagnosis,medulloblastoma_ever_bool,,Any note documents medulloblastoma,eligibility,boolean,,,,
pcx__client_diagnosis,atrt_ever_bool,,Any note documents ATRT,eligibility,boolean,,,,
pcx__client_diagnosis,histology_ever,,Latest documented medulloblastoma histologic pattern,covariate,varchar,,,,
pcx__client_diagnosis,histology_baseline,,Latest documented histology within 90 days of t0_day,covariate,varchar,,,,
pcx__client_diagnosis,anaplastic_ever_bool,,Any note documents large-cell/anaplastic histology,covariate,boolean,,,,
pcx__client_diagnosis,chang_m_stage_ever,,Most severe explicitly documented Chang M-stage,covariate,varchar,,,,
pcx__client_diagnosis,chang_m_stage_baseline,,Most severe explicitly documented M-stage within 90 days of t0_day,covariate,varchar,,,,
pcx__client_diagnosis,metastatic_ever_bool,,Any note documents M1 to M4,covariate,boolean,,,,
pcx__client_diagnosis,historical_diagnosis_term,,Latest legacy diagnosis term used for this tumor (PNET etc.),provenance,varchar,,,,
pcx__client_diagnosis,tumor_location_verbatim,,Latest primary site wording from the notes,covariate,varchar,,,,
pcx__client_diagnosis,age_at_diagnosis_months_stated,,Smallest explicitly stated age at diagnosis in months,covariate,bigint,,,,
pcx__client_diagnosis,diagnosis_day_stated_min,,Earliest stated diagnosis date across notes,covariate_time,date,,,,
pcx__client_diagnosis,diagnosis_gold_day_min,,Earliest confirmatory tissue-diagnosis date across notes,covariate_time,date,,,,
pcx__client_diagnosis,age_months_at_diagnosis_gold,,Completed months from birthdate to diagnosis_gold_day_min,covariate,bigint,,,,
pcx__client_diagnosis,molecular_group_ever,,"Latest documented medulloblastoma molecular group (WNT, SHH, GROUP_3, GROUP_4, NON_WNT_NON_SHH, CONFLICTING, OTHER)",covariate,varchar,,,,
pcx__client_diagnosis,molecular_group_baseline,,Latest documented molecular group within 90 days of t0_day,covariate,varchar,,,,
pcx__client_diagnosis,molecular_group_method,,Documented classification method for the latest group (clinical summary is not methylation confirmation),provenance,varchar,,,,
pcx__client_diagnosis,molecular_group_distinct_count,,Number of distinct documented groups excluding CONFLICTING,provenance,bigint,,,,
pcx__client_diagnosis,group_3_ever_bool,,Any note documents Group 3,covariate,boolean,,,,
pcx__client_encounter,subject_ref,,FHIR Patient reference,identifier,varchar,,,,
pcx__client_encounter,encounter_ref,,FHIR Encounter reference,identifier,varchar,,,,
pcx__client_encounter,enc_period_ordinal,,Encounter period ordinal used for utilization counting,utilization,bigint,,,,
pcx__client_encounter,enc_period_start_day,,Encounter start date,covariate_time,date,,,,
