topic	query
dx_medulloblastoma	note:(medulloblastoma* OR medulloblastoma~1 OR medullomyoblastoma* OR MBEN OR DNMB OR "MB SHH" OR "MB WNT" OR "MB Group 3" OR "MB Group 4" OR "MB Grp3" OR "MB Grp4" OR "9470/3" OR "9471/3" OR "9472/3" OR "9474/3" OR "9475/3" OR "9476/3" OR "9477/3" OR ((PNET OR "primitive neuroectodermal tumor" OR "primitive neuroectodermal tumour") AND (cerebellar OR cerebellum OR "posterior fossa" OR infratentorial OR vermis OR vermian OR "fourth ventricle" OR "4th ventricle")))
dx_atrt	note:("atypical teratoid rhabdoid" OR "atypical teratoid" OR ATRT OR "AT/RT" OR "AT RT" OR "9508/3" OR (rhabdoid AND (brain OR cerebellar OR intracranial OR CNS OR "central nervous system" OR "posterior fossa" OR INI1 OR SMARCB1 OR SMARCA4 OR BRG1)))
rx_contrast_methotrexate	note:(methotrexate OR methotrexate~1 OR amethopterin OR Trexall OR Rheumatrex OR Otrexup OR Rasuvo OR Reditrex OR Xatmep OR Jylamvo OR "HD MTX" OR "HD-MTX" OR "high dose methotrexate" OR (MTX AND (chemotherap* OR chemo OR leucovorin OR infusion OR intrathecal OR intraventricular OR intravenous OR oral OR subcutaneous OR dose OR doses OR administer* OR received OR held OR omitted OR clearance OR level* OR rescue OR ACNS0334 OR "ACNS 0334")))
rx_chemotherapy	note:(vincristine OR vincristine~1 OR Vincasar OR Marqibo OR Oncovin OR carboplatin OR Paraplatin OR Kyxata OR cyclophosphamide OR cyclophosphamide~1 OR Cytoxan OR Neosar OR Frindovyx OR cisplatin OR Platinol OR thiotepa OR Tepadina OR Tepylute OR Thioplex OR etoposide OR "etoposide phosphate" OR Vepesid OR Toposar OR Etopophos OR Avopef OR ((VCR OR CBDCA OR CTX OR CPM OR CDDP OR "VP-16" OR VP16) AND (chemotherap* OR chemo OR induction OR consolidation OR cycle* OR infusion OR intravenous OR dose OR doses OR administer* OR received OR held OR omitted OR ACNS0334 OR "ACNS 0334")))
diagnosis_recall	(note:(medulloblastoma* OR medulloblastoma~1 OR medullomyoblastoma* OR MBEN OR DNMB OR "MB SHH" OR "MB WNT" OR "MB Group 3" OR "MB Group 4" OR "MB Grp3" OR "MB Grp4" OR "9470/3" OR "9471/3" OR "9472/3" OR "9474/3" OR "9475/3" OR "9476/3" OR "9477/3" OR ((PNET OR "primitive neuroectodermal tumor" OR "primitive neuroectodermal tumour") AND (cerebellar OR cerebellum OR "posterior fossa" OR infratentorial OR vermis OR vermian OR "fourth ventricle" OR "4th ventricle"))) OR note:("atypical teratoid rhabdoid" OR "atypical teratoid" OR ATRT OR "AT/RT" OR "AT RT" OR "9508/3" OR (rhabdoid AND (brain OR cerebellar OR intracranial OR CNS OR "central nervous system" OR "posterior fossa" OR INI1 OR SMARCB1 OR SMARCA4 OR BRG1))) OR note:(ETMR OR ETANTR OR ependymoblastoma* OR medulloepithelioma* OR pineoblastoma* OR sPNET OR "supratentorial PNET" OR "CNS PNET" OR "CNS-PNET" OR "CNS embryonal" OR "embryonal tumor" OR "embryonal tumour" OR "CNS neuroblastoma" OR "cerebellar sarcoma" OR "9473/3" OR "9478/3" OR "9362/3" OR "9501/3" OR ACNS0334 OR "ACNS 0334" OR ((PNET OR embryonal) AND (brain OR intracranial OR CNS OR "central nervous system" OR supratentorial OR pineal OR cerebral OR hemispheric)) OR glioma* OR ependymoma* OR craniopharyngioma* OR "choroid plexus" OR "germ cell tumor" OR "germ cell tumour" OR germinoma* OR glioneuronal OR ganglioglioma* OR "CNS sarcoma" OR "brain tumor" OR "brain tumour" OR "CNS tumor" OR "CNS tumour" OR "posterior fossa mass" OR "posterior fossa tumor" OR "posterior fossa tumour" OR "integrated diagnosis"))
transition_of_care_recall	((note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:("transfer of care" OR "transferred care" OR "care transferred" OR "transfer of oncology care" OR "transfer of neuro oncology care" OR "transferred his care" OR "transferred her care" OR "transferred their care" OR "assume care" OR "assumed care" OR "assuming care" OR "transferred after resection" OR "transferred following resection" OR "transferred post op" OR "transferred postoperatively" OR "transferred with an EVD" OR "transferred with EVD" OR "transferred intubated" OR "transferred for neurosurgical" OR "transferred for neurosurgery" OR "transferred for resection" OR "transferred for surgical resection" OR "transferred for further management" OR "transferred for higher level of care" OR "transferred for oncologic" OR "transferred for oncology" OR "transferred for proton" OR "transferred for stem cell" OR "transferred for chemotherapy" OR "referred for neurosurgical" OR "referred for resection" OR "referred for proton" OR "referred for stem cell" OR "referred for high dose chemotherapy" OR "referred for second opinion" OR "referred for enrollment" OR "referred for protocol" OR "referred to neuro oncology" OR "referred to oncology" OR "resected at an outside" OR "resected at outside" OR "resection at an outside" OR "resection at outside" OR "craniotomy at an outside" OR "craniotomy at outside" OR "underwent resection at" OR "underwent craniotomy at" OR "s/p resection at" OR "s/p craniotomy at" OR "outside pathology reviewed" OR "outside pathology showed" OR "outside pathology revealed" OR "outside pathology report" OR "outside pathology consistent with" OR "outside slides" OR "slides reviewed" OR "slides were reviewed" OR "pathology reviewed here" OR "reviewed by our neuropathologist" OR "reviewed by our pathologist" OR "outside CT" OR "outside MRI" OR "outside imaging" OR "outside head CT" OR "outside brain MRI" OR "showed a posterior fossa mass" OR "revealed a posterior fossa mass" OR "showed a cerebellar mass" OR "found to have a posterior fossa mass" OR "found to have a brain mass" OR "started induction at" OR "induction at an outside" OR "induction at outside" OR "started chemotherapy at" OR "began chemotherapy at" OR "received chemotherapy at" OR "chemotherapy at an outside" OR "chemotherapy at outside" OR "cycle 1 at" OR "received radiation at" OR "radiation at an outside" OR "radiation at outside" OR "treated on protocol at" OR "enrolled at an outside" OR "previously treated at" OR "previously followed at" OR "initially diagnosed at" OR "originally diagnosed at" OR "treated elsewhere" OR "diagnosed elsewhere" OR "continue treatment here" OR "continue therapy here" OR "complete therapy here" OR "remainder of therapy here" OR "remaining cycles here" OR ((outside OR OSH OR elsewhere OR "another hospital" OR "another institution" OR "referring hospital" OR "referring institution" OR "community hospital" OR "local hospital" OR "sending hospital") AND (diagnos* OR patholog* OR slides OR biops* OR resect* OR craniotom* OR craniectom* OR neurosurg* OR chemotherap* OR induction OR cycle* OR radiotherap* OR irradiat* OR radiation OR proton OR "stem cell" OR MRI OR CT OR imaging OR mass OR hydrocephalus OR EVD OR shunt)) OR (("this institution" OR "our institution" OR "at BCH" OR "to BCH" OR "Boston Children's") AND ("initial diagnosis" OR "initial resection" OR "definitive surgery" OR "first MRI" OR "initial MRI" OR "established care" OR "transfer of care")) OR (("treatment naive" OR "no prior therapy" OR "no prior chemotherapy" OR "no prior radiation" OR "steroids only" OR "newly diagnosed") AND (arrival OR arrived OR presentation OR presented OR transfer* OR "first visit" OR "initial visit" OR "new patient" OR "established care")))) OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:(transfer* OR referral OR referred OR "outside hospital" OR "outside institution" OR "outside facility" OR "outside records" OR "outside oncologist" OR "outside oncology" OR "outside provider" OR "outside pathology" OR "outside slides" OR "outside imaging" OR "outside MRI" OR "outside CT" OR "referring hospital" OR "referring physician" OR "referring provider" OR "previously treated at" OR "previously followed at" OR "initially diagnosed at" OR "originally diagnosed at" OR "prior institution" OR "previous institution" OR "prior oncologist" OR "treated elsewhere" OR "diagnosed elsewhere" OR "followed elsewhere" OR "second opinion" OR "establish care" OR "establishing care" OR "established care" OR "new patient" OR "new to our" OR "relocated from" OR "moved from" OR "moved here" OR "records reviewed" OR "records obtained" OR "records requested" OR "records from" OR "per outside" OR medflight OR "med flight" OR "critical care transport" OR "transport team" OR "flown from" OR "life flight" OR "treatment naive" OR "no prior therapy" OR "no prior chemotherapy" OR "no prior radiation" OR (OSH AND (records OR MRI OR CT OR imaging OR patholog* OR treated OR diagnos* OR chemotherap* OR surg* OR resect* OR oncolog* OR transfer*)))))
surgery_recall	((note:("tumor resection" OR "tumour resection" OR "suboccipital craniotomy" OR "suboccipital craniectomy" OR "posterior fossa craniotomy" OR "gross total resection" OR "near total resection" OR "subtotal resection" OR "extent of resection" OR "second look surgery" OR "second look resection" OR "residual tumor" OR "residual tumour") OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334" OR brain OR cerebell* OR "posterior fossa" OR intracranial OR cranial OR neurosurg* OR craniotom* OR craniectom*) AND note:("extent of resection" OR "gross total resection" OR "near total resection" OR "subtotal resection" OR "partial resection" OR "tumor resection" OR "tumour resection" OR "stereotactic biopsy" OR "laser interstitial thermal therapy" OR "second look surgery" OR "second look resection" OR "suboccipital craniotomy" OR "suboccipital craniectomy" OR "posterior fossa craniotomy" OR "definitive surgery" OR "underwent craniotomy" OR "underwent resection" OR "s/p craniotomy" OR "s/p resection" OR "endoscopic endonasal" OR "transsphenoidal resection" OR ((postop* OR "post operative" OR "post op" OR resect* OR "surgical cavity") AND (residual OR GTR OR NTR OR STR OR enhancement OR MRI)) OR ((laminectom* OR debulk* OR biops*) AND (neurosurg* OR intracranial OR cerebellar OR spinal OR "posterior fossa")) OR craniotom* OR craniectom* OR "operative report" OR "operative note" OR "brief operative" OR "procedure performed" OR "date of surgery" OR "surgery date" OR "residual tumor" OR "residual tumour" OR "residual disease" OR "residual enhancement" OR "no residual"))) OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334" OR brain OR cerebell* OR "posterior fossa" OR intracranial OR cranial OR neurosurg* OR craniotom* OR craniectom*) AND note:(surg* OR operat* OR resect* OR craniotom* OR craniectom* OR biops* OR "gross total" OR GTR OR "near total" OR NTR OR subtotal OR STR OR residual OR suboccipital OR neurosurg* OR debulk* OR "extent of resection" OR postop* OR "post operative" OR "post op" OR "second look" OR laminectom* OR endoscop* OR endonas* OR transsphenoid* OR stereotactic OR LITT OR "laser interstitial")))
metastasis_recall	((note:("CSF cytology" OR "cerebrospinal fluid cytology" OR "drop metastases" OR "drop metastasis" OR "drop mets" OR leptomening* OR "Chang stage" OR "Chang M" OR "stage M0" OR "stage M1" OR "stage M2" OR "stage M3" OR "stage M4" OR "metastatic disease" OR "spinal seeding" OR "spinal metastases" OR "spinal metastasis") OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:("Chang stage" OR "Chang M" OR "M stage" OR "stage M0" OR "stage M1" OR "stage M2" OR "stage M3" OR "stage M4" OR "M0 disease" OR "M1 disease" OR "M2 disease" OR "M3 disease" OR "M4 disease" OR "CSF cytology" OR "cerebrospinal fluid cytology" OR "lumbar CSF" OR "ventricular CSF" OR "drop metastases" OR "drop metastasis" OR "drop mets" OR leptomening* OR "spinal seeding" OR "spinal metastases" OR "metastatic disease" OR "disseminated disease" OR "no evidence of dissemination" OR ((CSF OR "cerebrospinal fluid" OR cytolog*) AND ("malignant cells" OR negative OR positive OR indeterminate)) OR ((brain OR spine OR spinal OR neuraxis OR neuroaxis) AND (MRI OR imaging) AND (metasta* OR disseminat* OR seeding OR staging OR enhancement)) OR ((extraneural OR "extra neural" OR "bone marrow" OR liver OR kidney OR bone) AND metasta*) OR "no evidence of metastatic" OR "no evidence of leptomeningeal" OR "metastatic spread" OR "spinal metastasis"))) OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:(Chang OR "M stage" OR M0 OR M1 OR M2 OR M3 OR M4 OR CSF OR "cerebrospinal fluid" OR cytolog* OR "lumbar puncture" OR leptomening* OR metasta* OR mets OR disseminat* OR seeding OR "drop lesion" OR "drop lesions" OR "drop mets" OR "spine MRI" OR "spinal MRI" OR "MRI spine" OR "total spine" OR "whole spine" OR "brain MRI" OR "MRI brain" OR neuraxis OR neuroaxis OR "bone marrow" OR extraneural OR "extra neural" OR "bone scan" OR staging)))
molecular_recall	((note:("methylation class" OR "methylation classifier" OR "methylation profiling" OR "molecular subgroup" OR "molecular subgrouping" OR "integrated diagnosis" OR "WNT activated" OR "SHH activated" OR "non WNT non SHH" OR "isochromosome 17q" OR i17q OR "MYC amplification" OR "MYCN amplification" OR NanoString OR OncoPanel OR "ATRT SHH" OR "ATRT MYC" OR "ATRT TYR") OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:("methylation class" OR "methylation profiling" OR "methylation array" OR "methylation classifier" OR "DNA methylation" OR "molecular subgroup" OR "molecular subgrouping" OR "molecular subtype" OR "molecular classification" OR "integrated diagnosis" OR "calibrated score" OR "classifier score" OR "Group 3" OR "Group III" OR "Grp 3" OR Group3 OR Grp3 OR "Group 4" OR "Group IV" OR "Grp 4" OR Group4 OR Grp4 OR "SHH activated" OR "WNT activated" OR "non WNT non SHH" OR "isochromosome 17q" OR i17q OR NanoString OR OncoPanel OR ((MYC OR MYCN OR TP53 OR CTNNB1 OR SUFU OR PTCH1 OR SMARCB1 OR SMARCA4 OR INI1 OR BRG1 OR LIN28A OR C19MC OR DICER1 OR chromosom* OR i17q OR 17q) AND (amplif* OR gain OR loss OR delet* OR mutat* OR variant* OR retained OR absent OR negative OR positive OR indeterminate OR FISH OR sequenc* OR immunohistochem* OR IHC OR "copy number")) OR "ATRT SHH" OR "ATRT MYC" OR "ATRT TYR" OR ((WNT OR SHH) AND (subgroup* OR subclass* OR methylat* OR molecular OR classif* OR activated))))) OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:(WNT OR SHH OR "sonic hedgehog" OR "Group 3" OR "Group III" OR "Grp 3" OR Group3 OR Grp3 OR "Group 4" OR "Group IV" OR "Grp 4" OR Group4 OR Grp4 OR "non WNT" OR methylat* OR molecular OR subgroup* OR subclass* OR "integrated diagnosis" OR MYC OR MYCN OR TP53 OR p53 OR CTNNB1 OR "beta catenin" OR YAP1 OR GAB1 OR filamin OR SUFU OR PTCH1 OR SMARCB1 OR SMARCA4 OR INI1 OR BRG1 OR LIN28A OR C19MC OR DICER1 OR chromosom* OR isochromosom* OR i17q OR 17q OR "copy number" OR amplif* OR FISH OR immunohistochem* OR IHC OR sequenc* OR NGS OR OncoPanel OR NanoString OR exome OR classif* OR "large cell anaplastic" OR desmoplastic OR "extensive nodularity")))
systemic_therapy_recall	((note:(vincristine OR vincristine~1 OR Vincasar OR Marqibo OR Oncovin OR carboplatin OR Paraplatin OR Kyxata OR cisplatin OR Platinol OR thiotepa OR Tepadina OR Tepylute OR Thioplex OR etoposide OR Vepesid OR Toposar OR Etopophos OR Avopef OR ACNS0334 OR "ACNS 0334" OR ACNS0333 OR CCG99703 OR CCG9921 OR "Head Start" OR SJYC07 OR PBTC026 OR "stem cell rescue" OR "high dose chemotherapy" OR "high dose methotrexate" OR "leucovorin rescue") OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:("stem cell rescue" OR "stem cell infusion" OR "autologous stem cell transplant" OR "peripheral blood stem cell infusion" OR "high dose chemotherapy" OR "high dose methotrexate" OR ((chemotherap* OR chemo OR methotrexate OR amethopterin OR Trexall OR Rheumatrex OR Otrexup OR Rasuvo OR Reditrex OR Xatmep OR Jylamvo OR MTX OR vincristine OR Vincasar OR Marqibo OR Oncovin OR carboplatin OR Paraplatin OR Kyxata OR cyclophosphamide OR Cytoxan OR Neosar OR Frindovyx OR cisplatin OR Platinol OR thiotepa OR Tepadina OR Tepylute OR Thioplex OR etoposide OR Vepesid OR Toposar OR Etopophos OR Avopef OR ACNS0334 OR "ACNS 0334" OR ACNS0333 OR CCG99703 OR CCG9921 OR "Head Start" OR SJYC07 OR PBTC026) AND (administer* OR received OR given OR infused OR infusion OR cycle* OR "day 1" OR dose OR dosing OR "mg/m2" OR "g/m2" OR "mg/kg" OR regimen OR induction OR consolidation OR intrathecal OR intraventricular OR intravenous OR oral OR subcutaneous OR planned OR held OR omitted OR cancelled OR deferred OR "no prior" OR "not received" OR "never received" OR "without chemotherapy")) OR "leucovorin rescue" OR "HD MTX" OR "HD-MTX"))) OR (note:(tumor OR tumour OR tumors OR tumours OR cancer OR cancers OR oncolog* OR malignan* OR neoplasm* OR carcinoma* OR sarcoma* OR blastoma* OR chemotherap* OR chemo OR radiotherap* OR "radiation therapy" OR "radiation oncology" OR "radiation treatment" OR "malignant cells" OR medulloblastoma* OR ATRT OR "atypical teratoid" OR rhabdoid OR ETMR OR pineoblastoma* OR "embryonal tumor" OR "embryonal tumour" OR PNET OR ACNS0334 OR "ACNS 0334") AND note:(chemotherap* OR chemo OR antineoplastic OR regimen* OR induction OR consolidation OR salvage OR methotrexate OR methotrexate~1 OR amethopterin OR Trexall OR Rheumatrex OR Otrexup OR Rasuvo OR Reditrex OR Xatmep OR Jylamvo OR MTX OR vincristine OR vincristine~1 OR Vincasar OR Marqibo OR Oncovin OR carboplatin OR Paraplatin OR Kyxata OR cyclophosphamide OR cyclophosphamide~1 OR Cytoxan OR Neosar OR Frindovyx OR cisplatin OR Platinol OR thiotepa OR Tepadina OR Tepylute OR Thioplex OR etoposide OR Vepesid OR Toposar OR Etopophos OR Avopef OR ACNS0334 OR "ACNS 0334" OR ACNS0333 OR "ACNS 0333" OR CCG99703 OR "CCG 99703" OR CCG9921 OR "CCG 9921" OR "Head Start" OR SJYC07 OR PBTC026 OR "stem cell" OR PBSC OR ASCR OR autologous OR leucovorin OR filgrastim OR Neupogen OR "G-CSF" OR GCSF OR mesna OR CD34 OR "mg/m2" OR "g/m2" OR "mg/m^2" OR "g/m^2" OR ((VCR OR CBDCA OR CTX OR CPM OR CDDP OR "VP-16" OR VP16 OR cycle* OR HDC) AND (chemotherap* OR chemo OR induction OR consolidation OR infusion OR dose OR administer*)))))
