keyword,system,code,display
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,3002,cyclophosphamide [IN]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,1545988,cyclophosphamide anhydrous [PIN]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,221085,cyclophosphamide lyophilized [PIN]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2679071,cyclophosphamide monohydrate [PIN]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2703032,cyclophosphamide 500 MG/ML Injectable Solution [Frindovyx] [SBD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,1437968,cyclophosphamide 25 MG Oral Capsule [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,1437969,cyclophosphamide 50 MG Oral Capsule [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,1734917,cyclophosphamide 500 MG Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,1734919,cyclophosphamide 1000 MG Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,1734921,cyclophosphamide 2000 MG Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,197549,cyclophosphamide 25 MG Oral Tablet [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,197550,cyclophosphamide 50 MG Oral Tablet [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2386859,cyclophosphamide 200 MG/ML Injectable Solution [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2568661,5 ML cyclophosphamide 200 MG/ML Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2568663,2.5 ML cyclophosphamide 200 MG/ML Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2644738,2 ML cyclophosphamide 500 MG/ML Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2644751,4 ML cyclophosphamide 500 MG/ML Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2644824,1 ML cyclophosphamide 500 MG/ML Injection [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2679073,cyclophosphamide 100 MG/ML Injectable Solution [SCD]
cyclophosphamide,http://www.nlm.nih.gov/research/umls/rxnorm,2703027,cyclophosphamide 500 MG/ML Injectable Solution [SCD]
