keyword,system,code,display
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,4179,etoposide [IN]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,24614,etoposide phosphate [PIN]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,105592,etoposide 50 MG Oral Capsule [Vepesid] [SBD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,206831,etoposide 20 MG/ML Injectable Solution [Toposar] [SBD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,226719,etoposide 100 MG Injection [Etopophos] [SBD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,2735802,etoposide 20 MG/ML Injectable Solution [Avopef] [SBD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,1734340,etoposide 100 MG Injection [SCD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,197687,etoposide 50 MG Oral Capsule [SCD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,199315,etoposide 100 MG Oral Capsule [SCD]
etoposide,http://www.nlm.nih.gov/research/umls/rxnorm,310248,etoposide 20 MG/ML Injectable Solution [SCD]
