keyword,system,code,display
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,6851,methotrexate [IN]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,287734,methotrexate sodium [PIN]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,105585,methotrexate 2.5 MG Oral Tablet [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,105586,methotrexate 10 MG Oral Tablet [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,105589,methotrexate 100 MG/ML Injectable Solution [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441402,0.4 ML methotrexate 25 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441411,0.4 ML methotrexate 37.5 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441416,0.4 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441422,0.4 ML methotrexate 62.5 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544378,0.2 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544385,0.25 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544387,0.3 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544389,0.35 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544395,0.45 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544397,0.5 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544401,0.6 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544403,0.15 ML methotrexate 50 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1655956,40 ML methotrexate 25 MG/ML Injection [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1655959,10 ML methotrexate 25 MG/ML Injection [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1655960,2 ML methotrexate 25 MG/ML Injection [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1655967,4 ML methotrexate 25 MG/ML Injection [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1655968,8 ML methotrexate 25 MG/ML Injection [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1747179,0.4 ML methotrexate 31.3 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1747185,0.4 ML methotrexate 43.8 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1747192,0.4 ML methotrexate 56.3 MG/ML Auto-Injector [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1921592,methotrexate 2.5 MG/ML Oral Solution [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1946772,methotrexate 25 MG/ML Injectable Solution [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377333,0.4 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377341,0.5 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377343,0.6 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377345,0.7 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377347,0.8 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377349,0.9 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377351,1 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2377353,0.3 ML methotrexate 25 MG/ML Prefilled Syringe [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,2671456,methotrexate 2 MG/ML Oral Solution [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,283510,methotrexate 15 MG Oral Tablet [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,283511,methotrexate 5 MG Oral Tablet [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,283671,methotrexate 7.5 MG Oral Tablet [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,311625,methotrexate 1000 MG Injection [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,315148,methotrexate 2.5 MG/ML Injectable Solution [SCD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441407,0.4 ML methotrexate 25 MG/ML Auto-Injector [Otrexup] [SBD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441413,0.4 ML methotrexate 37.5 MG/ML Auto-Injector [Otrexup] [SBD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441418,0.4 ML methotrexate 50 MG/ML Auto-Injector [Otrexup] [SBD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1441424,0.4 ML methotrexate 62.5 MG/ML Auto-Injector [Otrexup] [SBD]
methotrexate,http://www.nlm.nih.gov/research/umls/rxnorm,1544383,0.2 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo] [SBD]
