keyword,system,code,display
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,10473,thiotepa [IN]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,1919209,thiotepa 100 MG Injection [Tepadina] [SBD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,1919211,thiotepa 15 MG Injection [Tepadina] [SBD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2700712,1.5 ML thiotepa 10 MG/ML Injection [Tepylute] [SBD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2709442,thiotepa 10 MG/ML Injectable Solution [Tepylute] [SBD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2712234,thiotepa 200 MG Injection [Tepadina] [SBD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2734126,thiotepa 400 MG Injection [Tepadina] [SBD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,1660004,thiotepa 100 MG Injection [SCD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,1660009,thiotepa 15 MG Injection [SCD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2700709,1.5 ML thiotepa 10 MG/ML Injection [SCD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2709440,thiotepa 10 MG/ML Injectable Solution [SCD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2712232,thiotepa 200 MG Injection [SCD]
thiotepa,http://www.nlm.nih.gov/research/umls/rxnorm,2734124,thiotepa 400 MG Injection [SCD]
