keyword,system,code,display
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,11202,vincristine [IN]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,11203,vincristine sulfate [PIN]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1304990,vincristine sulfate liposome [PIN]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1304991,vincristine liposome [PIN]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1305000,31 ML vincristine sulfate liposome 0.16 MG/ML Injection [Marqibo] [SBD]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1863347,1 ML vincristine sulfate 1 MG/ML Injection [Vincasar] [SBD]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1863355,2 ML vincristine sulfate 1 MG/ML Injection [Vincasar] [SBD]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1304995,31 ML vincristine sulfate liposome 0.16 MG/ML Injection [SCD]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1863343,1 ML vincristine sulfate 1 MG/ML Injection [SCD]
vincristine,http://www.nlm.nih.gov/research/umls/rxnorm,1863354,2 ML vincristine sulfate 1 MG/ML Injection [SCD]
